             ec_s1 |       fc | 232.6263*cm 0*cm 723.8662*cm | ordered: zxy 90*deg 25*deg 0*deg |   G4Trap | 26.7767*cm 0*rad 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad 204.3534*cm 0.000001*cm 209.3246*cm 0*rad  | 
V_strip_2_14_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -4.431913*cm 42.6154*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 81.6919*cm 75.8568*cm -0.1036253*rad 4.7351*cm 81.6919*cm 75.8568*cm -0.1036253*rad  | 
V_strip_2_15_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -3.4470434*cm 33.1453*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 87.5271*cm 81.6919*cm -0.1036253*rad 4.7351*cm 87.5271*cm 81.6919*cm -0.1036253*rad  | 
V_strip_2_16_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -2.4621738*cm 23.6752*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 93.3622*cm 87.5271*cm -0.1036253*rad 4.7351*cm 93.3622*cm 87.5271*cm -0.1036253*rad  | 
V_strip_2_17_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -1.4773043*cm 14.2051*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 99.1973*cm 93.3622*cm -0.1036253*rad 4.7351*cm 99.1973*cm 93.3622*cm -0.1036253*rad  | 
V_strip_2_18_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | -0.4924347*cm 4.735*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 105.0325*cm 99.1973*cm -0.1036253*rad 4.7351*cm 105.0325*cm 99.1973*cm -0.1036253*rad  | 
V_strip_2_19_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 0.4924*cm -4.735051*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 110.8676*cm 105.0325*cm -0.1036253*rad 4.7351*cm 110.8676*cm 105.0325*cm -0.1036253*rad  | 
V_strip_2_20_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 1.4773*cm -14.205151*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 116.7027*cm 110.8676*cm -0.1036253*rad 4.7351*cm 116.7027*cm 110.8676*cm -0.1036253*rad  | 
V_strip_2_21_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 2.4622*cm -23.675251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 122.5379*cm 116.7027*cm -0.1036253*rad 4.7351*cm 122.5379*cm 116.7027*cm -0.1036253*rad  | 
V_strip_2_22_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 3.447*cm -33.145351*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 128.373*cm 122.5379*cm -0.1036253*rad 4.7351*cm 128.373*cm 122.5379*cm -0.1036253*rad  | 
V_strip_2_23_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 4.4319*cm -42.615451*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 134.2081*cm 128.373*cm -0.1036253*rad 4.7351*cm 134.2081*cm 128.373*cm -0.1036253*rad  | 
V_strip_2_24_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 5.4168*cm -52.085551*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 140.0433*cm 134.2081*cm -0.1036253*rad 4.7351*cm 140.0433*cm 134.2081*cm -0.1036253*rad  | 
V_strip_2_25_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 6.4017*cm -61.555651*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 145.8784*cm 140.0433*cm -0.1036253*rad 4.7351*cm 145.8784*cm 140.0433*cm -0.1036253*rad  | 
V_strip_2_26_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 7.3865*cm -71.025751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 151.7136*cm 145.8784*cm -0.1036253*rad 4.7351*cm 151.7136*cm 145.8784*cm -0.1036253*rad  | 
V_strip_2_27_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 8.3714*cm -80.495851*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 157.5487*cm 151.7136*cm -0.1036253*rad 4.7351*cm 157.5487*cm 151.7136*cm -0.1036253*rad  | 
V_strip_2_28_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 9.3563*cm -89.965951*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 163.3838*cm 157.5487*cm -0.1036253*rad 4.7351*cm 163.3838*cm 157.5487*cm -0.1036253*rad  | 
V_strip_2_29_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 10.3411*cm -99.436051*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 169.219*cm 163.3838*cm -0.1036253*rad 4.7351*cm 169.219*cm 163.3838*cm -0.1036253*rad  | 
V_strip_2_30_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 11.326*cm -108.906151*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 175.0541*cm 169.219*cm -0.1036253*rad 4.7351*cm 175.0541*cm 169.219*cm -0.1036253*rad  | 
V_strip_2_31_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 12.3109*cm -118.376251*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 180.8892*cm 175.0541*cm -0.1036253*rad 4.7351*cm 180.8892*cm 175.0541*cm -0.1036253*rad  | 
V_strip_2_32_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 13.2957*cm -127.846351*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 186.7244*cm 180.8892*cm -0.1036253*rad 4.7351*cm 186.7244*cm 180.8892*cm -0.1036253*rad  | 
V_strip_2_33_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 14.2806*cm -137.316451*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 192.5595*cm 186.7244*cm -0.1036253*rad 4.7351*cm 192.5595*cm 186.7244*cm -0.1036253*rad  | 
V_strip_2_34_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 15.2655*cm -146.786551*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 198.3946*cm 192.5595*cm -0.1036253*rad 4.7351*cm 198.3946*cm 192.5595*cm -0.1036253*rad  | 
V_strip_2_35_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 16.2503*cm -156.256651*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 204.2298*cm 198.3946*cm -0.1036253*rad 4.7351*cm 204.2298*cm 198.3946*cm -0.1036253*rad  | 
V_strip_2_36_s1_stack_1 | V-scintillator_2_s1_view_2_stack_1 | 17.2352*cm -165.726751*cm 0*cm | 0 0 0 |   G4Trap | 0.5*cm 0*rad 0*rad 4.7351*cm 210.0649*cm 204.2298*cm -0.1036253*rad 4.7351*cm 210.0649*cm 204.2298*cm -0.1036253*rad  | 
lead_3_s1_view_3_stack_1 |    ec_s1 | 0*cm 0.0171*cm -18.97135*cm | 0 0 0 |   G4Trap | 0.119*cm 0*rad 0*rad 187.4133*cm 0.000001*cm 191.9736*cm 0*rad 187.4133*cm 0.000001*cm 191.9736*cm 0*rad  | 
