panel1b_sector1_paddle_5  |         ftof_p1b_s1  |paddle 5 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -160.706600*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     21.445*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 5 side manual 0 
panel1b_sector1_paddle_6  |         ftof_p1b_s1  |paddle 6 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -154.642200*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      24.62*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 6 side manual 0 
panel1b_sector1_paddle_7  |         ftof_p1b_s1  |paddle 7 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -148.577800*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      27.85*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 7 side manual 0 
panel1b_sector1_paddle_8  |         ftof_p1b_s1  |paddle 8 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -142.513400*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     31.025*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 8 side manual 0 
panel1b_sector1_paddle_9  |         ftof_p1b_s1  |paddle 9 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -136.449000*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     34.255*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 9 side manual 0 
panel1b_sector1_paddle_10  |         ftof_p1b_s1  |paddle 10 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -130.384600*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      37.43*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 10 side manual 0 
panel1b_sector1_paddle_11  |         ftof_p1b_s1  |paddle 11 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -124.320200*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      40.66*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 11 side manual 0 
panel1b_sector1_paddle_12  |         ftof_p1b_s1  |paddle 12 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -118.255800*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     43.835*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 12 side manual 0 
panel1b_sector1_paddle_13  |         ftof_p1b_s1  |paddle 13 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -112.191400*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     47.065*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 13 side manual 0 
panel1b_sector1_paddle_14  |         ftof_p1b_s1  |paddle 14 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -106.127000*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      50.24*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 14 side manual 0 
panel1b_sector1_paddle_15  |         ftof_p1b_s1  |paddle 15 - Panel 1B - Sector 1  |            0.000000*cm 0.000000*cm -100.062600*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      53.47*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 15 side manual 0 
panel1b_sector1_paddle_16  |         ftof_p1b_s1  |paddle 16 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -93.998200*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     56.645*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 16 side manual 0 
panel1b_sector1_paddle_17  |         ftof_p1b_s1  |paddle 17 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -87.933800*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                     59.875*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 17 side manual 0 
panel1b_sector1_paddle_18  |         ftof_p1b_s1  |paddle 18 - Panel 1B - Sector 1  |             0.000000*cm 0.000000*cm -81.869400*cm  |                                   0 0 0  | 11ffaa   |                 Box  |                                      63.05*cm 3.0*cm 3.0*cm  |        scintillator  |                  no  |     1   |     1   |     1   |   1   |   1   |                ftof  |                ftof  |sector manual 1 panel manual 2 paddle manual 18 side manual 0 
