  scintillator_114 B  |                band  |              Short Bars 114 B  |                          753.5*mm -27.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 4cbb17   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 4 layer manual 1 component manual 4 side manual 0 
  scintillator_114 A  |                band  |              Short Bars 114 A  |                         -753.5*mm -27.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 32cd32   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 3 layer manual 1 component manual 4 side manual 0 
  pmtshield_114 Lout  |                band  |   Mu metal shield for pmt 114  |                       -1138.74*mm -27.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  pmtshield_114 Rout  |                band  |   Mu metal shield for pmt 114  |                        1138.74*mm -27.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_114 Rin  |                band  |   Mu metal shield for pmt 114  |                       -368.263*mm -27.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
   pmtshield_114 Lin  |                band  |   Mu metal shield for pmt 114  |                        368.263*mm -27.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  scintillator_115 B  |                band  |              Short Bars 115 B  |                         753.5*mm -100.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 4cbb17   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 4 layer manual 1 component manual 5 side manual 0 
  scintillator_115 A  |                band  |              Short Bars 115 A  |                        -753.5*mm -100.8*mm 655*mm  |                       0*deg 0*deg 0*deg  | 32cd32   |                 Box  |                                          255*mm 36*mm 36*mm  |               ej200  |                  no  |     1   |     1   |     1   |   1   |   1   |                band  |                band  |sector manual 3 layer manual 1 component manual 5 side manual 0 
  pmtshield_115 Lout  |                band  |   Mu metal shield for pmt 115  |                      -1138.74*mm -100.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 111111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
  pmtshield_115 Rout  |                band  |   Mu metal shield for pmt 115  |                       1138.74*mm -100.8*mm 655*mm  |                      0*deg 90*deg 0*deg  | 771111   |                Tube  |                   30.035*mm 32.725*mm 88.9*mm 0*deg 360*deg  |            mushield  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
