BMT_PCB_Z_Layer3_Segment02  |                 BMT  |   PCB Z, Layer 3,  Segment 02  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -270*deg  |0000ff4   |                Tube  |175.782584*mm 175.882584*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |               myFR4  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_PCB_Z_Layer3_Segment03  |                 BMT  |   PCB Z, Layer 3,  Segment 03  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -390*deg  |0000ff4   |                Tube  |175.782584*mm 175.882584*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |               myFR4  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         FMT_Strips3  |                 FMT  |              Strips, Layer 3,  |                               0*mm 0*mm -8.339*mm  |                       0*deg 0*deg 0*deg  |3535404   |                Tube  |                 42.000*mm 185.000*mm 0.006*mm 0*deg 360*deg  |       myfmtMMStrips  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         FMT_Kapton3  |                 FMT  |              Kapton, Layer 3,  |                               0*mm 0*mm -8.308*mm  |                       0*deg 0*deg 0*deg  |fff6004   |                Tube  |                 42.000*mm 185.000*mm 0.025*mm 0*deg 360*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
FMT_Resistiv_Strips3  |                 FMT  |     Resistiv Strips, Layer 3,  |                               0*mm 0*mm -8.273*mm  |                       0*deg 0*deg 0*deg  |0000004   |                Tube  |                  42.000*mm 185.000*mm 0.01*mm 0*deg 360*deg  |    myfmtResistPaste  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas13  |                 FMT  |                Gas1, Layer 3,  |                               0*mm 0*mm -8.199*mm  |                       0*deg 0*deg 0*deg  |e100002   |                Tube  |                 48.000*mm 193.000*mm 0.064*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Mesh3  |                 FMT  |                Mesh, Layer 3,  |                               0*mm 0*mm -8.126*mm  |                       0*deg 0*deg 0*deg  |2520205   |                Tube  |                 39.000*mm 204.000*mm 0.009*mm 0*deg 360*deg  |         myfmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
           FMT_Gas23  |                 FMT  |                Gas2, Layer 3,  |                               0*mm 0*mm -5.553*mm  |                       0*deg 0*deg 0*deg  |e100002   |                Tube  |                   39.000*mm 195.000*mm 2.5*mm 0*deg 360*deg  |          myfmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 fmt  |                 fmt  |superlayer manual 3 type manual 1 segment manual 1 strip manual 1 
BMT_DriftCuElectrode_Z_Layer3_Segment01  |                 BMT  |DriftCuElectrode Z, Layer 3,  Segment 01  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -150*deg  |6666004   |                Tube  |179.135584*mm 179.135704*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer3_Segment02  |                 BMT  |DriftCuElectrode Z, Layer 3,  Segment 02  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -270*deg  |6666004   |                Tube  |179.135584*mm 179.135704*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer3_Segment03  |                 BMT  |DriftCuElectrode Z, Layer 3,  Segment 03  |                              0*mm 0*mm 146.255*mm  |                    0*deg 0*deg -390*deg  |6666004   |                Tube  |179.135584*mm 179.135704*mm 211.995*mm 3.2604252814393*deg 113.479149437121*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
