               svt |     none|   0.0000*cm   0.0000*cm   0.0000*cm| ordered: zyx    0.0000*deg    0.0000*deg    0.0000*deg |      Box |      0.0000*cm      0.0000*cm      0.0000*cm | 
sensorPhysical2_m2_s19_r4 |      svt|  16.4686*cm   0.0000*cm   8.3309*cm| ordered: zyx  -270.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s19_r4 |      svt|  16.4686*cm   0.0000*cm  19.5046*cm| ordered: zyx  -270.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s20_r4 |      svt|  15.5711*cm  -4.1723*cm  -2.8427*cm| ordered: zyx  -255.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s20_r4 |      svt|  15.5711*cm  -4.1723*cm   8.3309*cm| ordered: zyx  -255.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s20_r4 |      svt|  15.5711*cm  -4.1723*cm  19.5046*cm| ordered: zyx  -255.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s20_r4 |      svt|  15.9074*cm  -4.2624*cm  -2.8427*cm| ordered: zyx  -255.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s20_r4 |      svt|  15.9074*cm  -4.2624*cm   8.3309*cm| ordered: zyx  -255.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s20_r4 |      svt|  15.9074*cm  -4.2624*cm  19.5046*cm| ordered: zyx  -255.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s21_r4 |      svt|  13.9607*cm  -8.0602*cm  -2.8427*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s21_r4 |      svt|  13.9607*cm  -8.0602*cm   8.3309*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s21_r4 |      svt|  13.9607*cm  -8.0602*cm  19.5046*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s21_r4 |      svt|  14.2622*cm  -8.2343*cm  -2.8427*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s21_r4 |      svt|  14.2622*cm  -8.2343*cm   8.3309*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s21_r4 |      svt|  14.2622*cm  -8.2343*cm  19.5046*cm| ordered: zyx  -240.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s22_r4 |      svt|  11.3988*cm -11.3988*cm  -2.8427*cm| ordered: zyx  -225.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s22_r4 |      svt|  11.3988*cm -11.3988*cm   8.3309*cm| ordered: zyx  -225.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s22_r4 |      svt|  11.3988*cm -11.3988*cm  19.5046*cm| ordered: zyx  -225.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s22_r4 |      svt|  11.6451*cm -11.6451*cm  -2.8427*cm| ordered: zyx  -225.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s22_r4 |      svt|  11.6451*cm -11.6451*cm   8.3309*cm| ordered: zyx  -225.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s22_r4 |      svt|  11.6451*cm -11.6451*cm  19.5046*cm| ordered: zyx  -225.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s23_r4 |      svt|   8.0602*cm -13.9607*cm  -2.8427*cm| ordered: zyx  -210.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s23_r4 |      svt|   8.0602*cm -13.9607*cm   8.3309*cm| ordered: zyx  -210.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s23_r4 |      svt|   8.0602*cm -13.9607*cm  19.5046*cm| ordered: zyx  -210.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s23_r4 |      svt|   8.2343*cm -14.2622*cm  -2.8427*cm| ordered: zyx  -210.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s23_r4 |      svt|   8.2343*cm -14.2622*cm   8.3309*cm| ordered: zyx  -210.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s23_r4 |      svt|   8.2343*cm -14.2622*cm  19.5046*cm| ordered: zyx  -210.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m1_s24_r4 |      svt|   4.1723*cm -15.5711*cm  -2.8427*cm| ordered: zyx  -195.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m1_s24_r4 |      svt|   4.1723*cm -15.5711*cm   8.3309*cm| ordered: zyx  -195.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m1_s24_r4 |      svt|   4.1723*cm -15.5711*cm  19.5046*cm| ordered: zyx  -195.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical1_m2_s24_r4 |      svt|   4.2624*cm -15.9074*cm  -2.8427*cm| ordered: zyx  -195.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical2_m2_s24_r4 |      svt|   4.2624*cm -15.9074*cm   8.3309*cm| ordered: zyx  -195.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
sensorPhysical3_m2_s24_r4 |      svt|   4.2624*cm -15.9074*cm  19.5046*cm| ordered: zyx  -195.0000*deg   -0.0000*deg    0.0000*deg |      Box |      2.1000*cm      0.0160*cm      5.5813*cm | 
